month,totalCost,maxBudget,Attractions,rangeAttractions,maxAttr,hostelNight,rangeNight,maxHostel,drinksEntertainment,drinkRound,meals,mealsRound,transport,TransportRound,avgTemp,avgTempYear,currency,currencyCode,rank,country,city
February,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,4.7,13,Euro,EUR,22,Italy,Milan
March,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,9,13,Euro,EUR,22,Italy,Milan
April,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,12.2,13,Euro,EUR,22,Italy,Milan
May,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,17,13,Euro,EUR,22,Italy,Milan
June,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,20.8,13,Euro,EUR,22,Italy,Milan
July,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,23.6,13,Euro,EUR,22,Italy,Milan
August,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,23,13,Euro,EUR,22,Italy,Milan
September,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,19.2,13,Euro,EUR,22,Italy,Milan
October,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,13.4,13,Euro,EUR,22,Italy,Milan
November,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,7.2,13,Euro,EUR,22,Italy,Milan
December,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,3.3,13,Euro,EUR,22,Italy,Milan
January,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,7.5,15.2,Euro,EUR,19,Italy,Rome
February,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,8.2,15.2,Euro,EUR,19,Italy,Rome
March,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,10.2,15.2,Euro,EUR,19,Italy,Rome
